,date,band1,band2,band3,band4,band5,band6,band7,measured_TP
184,2004-05-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.083
185,2004-06-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.113
186,2004-07-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.108
187,2004-08-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.335
188,2004-09-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.155
189,2004-10-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.085
190,2004-11-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.074
191,2004-12-11,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.069
192,2005-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.066
193,2005-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.159
194,2005-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.123
195,2005-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.09
196,2005-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.146
197,2005-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.105
198,2005-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.149
199,2005-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.135
200,2005-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.193
201,2005-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.113
202,2005-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.085
203,2005-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.134
204,2006-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.105
205,2006-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.173
206,2006-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.132
207,2006-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.142
208,2006-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.146
209,2006-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.131
210,2006-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.324
211,2006-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.22
212,2006-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.294
213,2006-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.221
214,2006-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.141
215,2006-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.093
216,2001-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.053
217,2001-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.062
218,2001-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.058
219,2001-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.062
220,2001-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.059
221,2001-06-11,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.098
222,2001-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.067
223,2001-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.097
224,2001-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.081
225,2001-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.115
226,2001-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.127
227,2001-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.079
228,2002-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.068
229,2002-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.028
230,2002-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.045
231,2002-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.073
232,2002-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.082
233,2002-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.11
234,2002-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.099
235,2002-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.119
236,2002-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.242
237,2002-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.232
238,2002-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.118
239,2002-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.13
240,2003-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.046
241,2003-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.04
242,2003-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.099
243,2003-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.075
244,2003-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.073
245,2003-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.099
246,2003-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.092
247,2003-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.159
248,2003-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.109
249,2003-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.202
250,2003-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.108
